"Nombre del piso	"	"Enlace	"	"Precio	"	"Parametros	"	"Descripcion	"
"Oficina  Passeig de Gràcia. A estrenar en pº de gracia , Barcelona 	"	"http://www.habitaclia.com/alquiler-oficina-a_estrenar_en_p_de_gracia_dreta_de_l_eixample-barcelona-i3506001754097.htm	"	"5.600 €	"	"350m2 - 16  /m	"	"... ubicada en finca de estilo clásico de uso oficina del Passeig de 	"
"Oficina  Passeig Gracia. Oficina en paseo de gracia , Barcelona 	"	"http://www.habitaclia.com/alquiler-oficina-en_paseo_de_gracia_dreta_de_l_eixample-barcelona-i4679001659781.htm	"	"3.264 €	"	"204m2 - 16  /m	"	"... características generales: aire acondicionado,calefaccion,planta 3,vigilancia,vistas a la ciudad,cerca de transporte público.passeig gracia. oficinas en el barcelonès. anuncio publicado por cat real estate.	"
"Piso  Carrer Maria. Vila de gràcia.- homegroup , Barcelona 	"	"http://www.habitaclia.com/comprar-piso-vila_de_gracia_homegroup_vila_de_gracia-barcelona-i3566001830387.htm	"	"240.000 €	"	"80m2 - 3 habitaciones - 3.000  /m	"	"... de la zona, només a 2 minuts dels jardinets de gràcia, aquest habitatge compte amb una proximitat única a tots els.. transports públics i situada a la zona més comercial de 	"
"Apartamento   Dreta de l´Eixample. Piso con galería en l´eixample , Barcelona 	"	"http://www.habitaclia.com/comprar-apartamento-piso_con_galeria_en_l_eixample_dreta_de_l_eixample-barcelona-i2953001696732.htm	"	"1.390.000 €	"	"258m2 - 4 habitaciones - 5.388  /m	"	"... barcelona, concretamente en el célebre quadrat d´or, muy cerca del Passeig de 	"
"Apartamento  Carrer Ramon Y Cajal, 116. Obra nueva , Barcelona 	"	"http://www.habitaclia.com/comprar-apartamento-carrer_ramon_y_cajal_116_obra_nueva_vila_de_gracia-barcelona-i8418001769278.htm	"	"420.000 €	"	"56m2 - 1 habitaciones - 7.500  /m	"	"... a la promoción ramón y cajal en barcelona, vila de gràcia. carrer ramon y cajal, 116. edificio viviendas    tercera...   el edificio está ubicado en la vila de 	"
"Casa   Dreta de l´Eixample. Casa con jardín en eixample dret , Barcelona 	"	"http://www.habitaclia.com/comprar-casa-con_jardin_en_eixample_dret_dreta_de_l_eixample-barcelona-i2953001696722.htm	"	"1.575.000 €	"	"215m2 - 3 habitaciones - 7.326  /m	"	"... eixample dret de barcelona. muy luminosa. muy cerca del célebre Passeig de 	"
"Ático  Paseo de Gracia. En pso gracia terraza de 280m2 , Barcelona 	"	"http://www.habitaclia.com/comprar-atico-en_pso_gracia_terraza_de_280m2_dreta_de_l_eixample-barcelona-i5593001600751.htm	"	"675.000 €	"	"60m2 - 1 habitaciones - 11.250  /m	"	"  Ático en Passeig de 	"
"Apartamento   Dreta de l´Eixample. Piso modernista en passeig de gràcia , Barcelona 	"	"http://www.habitaclia.com/comprar-apartamento-piso_modernista_en_passeig_de_gracia_dreta_de_l_eixample-barcelona-i2953001696763.htm	"	"3.000.000 €	"	"215m2 - 3 habitaciones - 13.953  /m	"	"... perfectamente ubicado en la calle más exclusiva de la ciudad: Passeig de 	"
"Piso  Carrer Llibertat. Immoble amb lliçència turística , Barcelona 	"	"http://www.habitaclia.com/comprar-piso-immoble_amb_llicencia_turistica_vila_de_gracia-barcelona-i3566001850948.htm	"	"200.000 €	"	"45m2 - 1 habitaciones - 4.444  /m	"	"  Immoble amb lliçència turística .- vila de gràcia .- habitatge estil ´loft´ de 40m², totalment reformat, al cor de la vila de 	"
"Piso  Plaça Doctor Letamendi. Pisos alto standing p. letamendi , Barcelona 	"	"http://www.habitaclia.com/comprar-piso-pisos_alto_standing_p_letamendi_esquerra_baixa_de_l_eixample-barcelona-i586001753019.htm	"	"525.300 €	"	"121m2 - 2 habitaciones - 4.341  /m	"	"... enric granados, y muy próximo a rambla de catalunya,  Passeig de 	"
"Apartamento  Carrer Ramon Y Cajal, 116. Obra nueva , Barcelona 	"	"http://www.habitaclia.com/comprar-apartamento-carrer_ramon_y_cajal_116_obra_nueva_vila_de_gracia-barcelona-i8418001771644.htm	"	"438.000 €	"	"60m2 - 2 habitaciones - 7.300  /m	"	"... a la promoción ramón y cajal en barcelona, vila de gràcia. carrer ramon y cajal, 116. edificio viviendas 60 m2.   ...   el edificio está ubicado en la vila de 	"
"Piso  Carrer Bailen, 240. , Barcelona 	"	"http://www.habitaclia.com/comprar-piso-carrer_bailen_240_camp_d_en_grassot_gracia_n-barcelona-i2948001825712.htm	"	"360.000 €	"	"117m2 - 3 habitaciones - 3.077  /m	"	"  Bailén - travessera de gràcia . al lado del 	"
"Piso  Avinguda Diagonal. Notable piso 3 habitaciones , Barcelona 	"	"http://www.habitaclia.com/comprar-piso-notable_3_habitaciones_dreta_de_l_eixample-barcelona-i586001394659.htm	"	"470.000 €	"	"92m2 - 3 habitaciones - 5.109  /m	"	"... baños en la intersección de la avenida diagonal y el Passeig de 	"
"Piso  Passeig Sant Joan. Finca regia rehabilitada! , Barcelona 	"	"http://www.habitaclia.com/comprar-piso-finca_regia_rehabilitada_camp_d_en_grassot_gracia_n-barcelona-i5454001746231.htm	"	"360.000 €	"	"90m2 - 3 habitaciones - 4.000  /m	"	"... planta 2,año de construcción 1930,vistas a la ciudad,cerca de transporte público.passeig sant joan. pisos a comprar en el barcelonès. anuncio publicado...	"
"Piso  Carrer Roger De Flor. Reformado, exterior, soleado, , Barcelona 	"	"http://www.habitaclia.com/comprar-piso-reformado_exterior_soleado_camp_d_en_grassot_gracia_n-barcelona-i3764001696450.htm	"	"290.000 €	"	"80m2 - 2 habitaciones - 3.625  /m	"	"... de la sagrada familia, a 15 minutos a pie de Passeig de 	"
